,anime_id,Name,English name,Other name,Score,Genres,Synopsis,Type,Episodes,Aired,Premiered,Status,Producers,Licensors,Studios,Source,Duration,Rating,Rank,Popularity,Favorites,Scored By,Members,Image URL
810,895,Dragon Ball Z Movie 02: Kono Yo de Ichiban Tsuyoi Yatsu,Dragon Ball Z: The World's Strongest,ドラゴンボールZ この世で一番強いヤツ,6.59,"Action, Adventure, Comedy, Fantasy, Sci-Fi","In his laboratory, biotechnology expert Dr. Kochin gathers the dragon balls intending to free his master Dr. Uirou, a mad scientist hellbent on ruling the world, forever frozen in the never-melting ice of the Tsurumai-Tsuburi Mountains. Attempting to locate the dragon balls, Gohan Son and Oolong arrive at the scene and are ambushed by several creatures known as ""Bio-Men."" Training nearby, Piccolo attempts to save them but is then attacked by three mysterious warriors. When the ice beneath them breaks, it cuts their altercation short, burying Gohan and Oolong within.

After regaining consciousness, they return home to Kame House only to encounter Bio-Men, demanding Muten-Roushi to follow them. Refusing, he easily defeats the creatures, piquing Dr. Kochin's interest. Under the impression of Muten-Roushi being the strongest man in the world, Dr. Kochin takes Bulma hostage, forcing Roushi's agreement to accompany him in mysterious plans involving his master. Who are Dr. Kochin and Dr. Uirou? What even is their purpose?",Movie,1.0,"Mar 10, 1990",UNKNOWN,Finished Airing,UNKNOWN,Funimation,Toei Animation,Manga,1 hr,PG-13 - Teens 13 or older,5868.0,1823,29,67039.0,109492,https://cdn.myanimelist.net/images/anime/1017/90344.jpg
811,896,Dragon Ball Z Movie 03: Chikyuu Marugoto Choukessen,Dragon Ball Z: The Tree of Might,ドラゴンボールZ 地球まるごと超決戦,6.69,"Action, Adventure, Comedy, Fantasy, Sci-Fi","A mysterious device crashes on planet Earth, causing a wildfire near where Gohan Son, Kuririn, Bulma, and Oolong are camping. Unable to fully save the forest, they decide to use the Dragon Balls to restore it to its previous condition. A few days later, a group of unknown warriors plant a seed where the mysterious device had crashed, sprouting a colossal tree that destroys the forest and neighboring cities in the process.

North Kaio contacts Gokuu Son and tells him that this tree is the ""Shinseiju""—a tree that absorbs all the nutrients in the planet and leaves it a barren wasteland, all the while growing a mighty fruit capable of providing incredible power to anyone who eats it. After learning of this, Gokuu and his friends try destroying the tree before it is too late, but that may prove to be more difficult than they had previously imagined.",Movie,1.0,"Jul 7, 1990",UNKNOWN,Finished Airing,UNKNOWN,Funimation,Toei Animation,Manga,1 hr 1 min,PG-13 - Teens 13 or older,5368.0,1579,48,81720.0,131593,https://cdn.myanimelist.net/images/anime/1956/90345.jpg
812,897,Dragon Ball Z Movie 04: Super Saiyajin da Son Gokuu,Dragon Ball Z: Lord Slug,ドラゴンボールZ 超サイヤ人だ孫悟空,6.55,"Action, Adventure, Fantasy, Sci-Fi","Gohan Son and Piccolo are peacefully playing when they sense a powerful entity approaching Earth. It soon reaches everyone's ears that this entity is in fact a small planet on a deadly collision course with Earth. Gokuu Son and Kuririn attempt to change the small planet's path with a Kamehameha, but the attack fails and the two warriors are blown away. However, after coming very close to Earth's surface, the object changes direction on its own and explodes soon after.

The small planet reveals itself to be a vehicle for what seems to be a castle. A large army emerges out of the structure and declares that the planet is now in possession of Slug, king of the universe. While defending the city against the invaders' attack, Gohan loses his Dragon Ball, allowing Slug to take it. After reading Bulma's mind and stealing her Dragon Radar, Slug commands his army to collect the wish-granting relics. With the Dragon Balls in his possession, he uses them to wish his youth back. Now young, wise, and very powerful, Slug commences world domination.",Movie,1.0,"Mar 9, 1991",UNKNOWN,Finished Airing,UNKNOWN,Funimation,Toei Animation,Manga,51 min,PG-13 - Teens 13 or older,6094.0,1754,22,71092.0,115481,https://cdn.myanimelist.net/images/anime/1620/93667.jpg
813,898,Dragon Ball Z Movie 05: Tobikkiri no Saikyou tai Saikyou,Dragon Ball Z: Cooler's Revenge,ドラゴンボールZ とびっきりの最強対最強,7.05,"Action, Adventure, Comedy, Fantasy, Sci-Fi","Gokuu Son and his friends are out camping when three mysterious enemies ambush them. After a quick fight, a fourth enemy named Cooler joins the fray. Seeking retribution for his younger brother Frieza after he was defeated, Cooler attacks Gokuu; however, the latter manages to escape with Gohan Son and goes into hiding. Unsatisfied and infuriated with the outcome, Cooler and his men begin the hunt to uncover Gokuu's location and kill him to carry out their plans of exacting revenge.",Movie,1.0,"Jul 20, 1991",UNKNOWN,Finished Airing,UNKNOWN,Funimation,Toei Animation,Manga,46 min,PG-13 - Teens 13 or older,3747.0,1484,74,90537.0,142657,https://cdn.myanimelist.net/images/anime/1113/121523.jpg
814,899,Dragon Ball Z Movie 06: Gekitotsu!! 100-oku Power no Senshi-tachi,Dragon Ball Z: The Return of Cooler,ドラゴンボールZ 激突!!100億パワーの戦士たち,6.79,"Action, Adventure, Comedy, Fantasy, Sci-Fi","A mysterious entity known as the ""Big Gete Star"" clings onto planet New Namek to absorb its energy, putting all Namekians in grave danger. Dende, Earth's new guardian, learns about the prevailing situation in his homeland and quickly requests Gokuu Son and his friends for help. 

Upon arrival in New Namek, they discover that the Namekians are held captive by powerful robots, whose leader turns out to be Cooler. He explains that the advanced technology of the Big Gete Star saved him from what otherwise would have been certain death. Alongside his mechanical army, Cooler proceeds to attack Gokuu and his friends to get rid of them once and for all.",Movie,1.0,"Mar 7, 1992",UNKNOWN,Finished Airing,UNKNOWN,Funimation,Toei Animation,Manga,45 min,PG-13 - Teens 13 or older,4903.0,1670,25,77387.0,123225,https://cdn.myanimelist.net/images/anime/1007/93669.jpg
815,900,Dragon Ball Z Movie 07: Kyokugen Battle!! Sandai Super Saiyajin,Dragon Ball Z: Super Android 13!,ドラゴンボールZ 極限バトル!!三大超サイヤ人,6.83,"Action, Adventure, Comedy, Fantasy, Sci-Fi","Dr. Gero's Androids #13, #14, and #15 are awakened by the laboratory computers and immediately head to the mall where Goku is shopping. After Goku, Trunks, and Vegeta defeat #14 and #15, #13 absorbs their inner computers and becomes a super being greater than the original three separately were. Now it is up to Goku to stop him. 

(Source: ANN)",Movie,1.0,"Jul 11, 1992",UNKNOWN,Finished Airing,UNKNOWN,Funimation,Toei Animation,Manga,45 min,PG-13 - Teens 13 or older,4708.0,1719,30,74001.0,118741,https://cdn.myanimelist.net/images/anime/1723/93670.jpg
816,901,"Dragon Ball Z Movie 08: Moetsukiro!! Nessen, Ressen, Chougekisen",Dragon Ball Z: Broly - The Legendary Super Saiyan,ドラゴンボールZ 燃えつきろ!!熱戦・烈戦・超激戦,7.31,"Action, Adventure, Comedy, Fantasy, Sci-Fi","As Goku investigates the destruction of the Southern Galaxy, Vegeta is taken to be King of the New Planet Vegeta, and to destroy the Legendary Super Saiyan, Broly.

(Source: ANN)",Movie,1.0,"Mar 6, 1993",UNKNOWN,Finished Airing,UNKNOWN,Funimation,Toei Animation,Manga,1 hr 16 min,PG-13 - Teens 13 or older,2474.0,1388,170,100164.0,156021,https://cdn.myanimelist.net/images/anime/1451/121524.jpg
817,902,Dragon Ball Z Movie 09: Ginga Girigiri!! Bucchigiri no Sugoi Yatsu,Dragon Ball Z: Bojack Unbound,ドラゴンボールZ 銀河ギリギリ!!ぶっちぎりの凄い奴,7.11,"Action, Adventure, Comedy, Fantasy, Sci-Fi","Mr. Money is holding another Tenka'ichi Budokai and Mr. Satan invites everyone in the world to join in. Little does he know that Bojack, an ancient villain who has escaped his prison, is competing. Since Goku is currently dead, it is up to Gohan, Vegeta, and Trunks to defeat Bojack and his henchman.",Movie,1.0,"Jul 10, 1993",UNKNOWN,Finished Airing,UNKNOWN,Funimation,Toei Animation,Manga,50 min,PG-13 - Teens 13 or older,3483.0,1735,50,72990.0,116701,https://cdn.myanimelist.net/images/anime/1730/93672.jpg
818,903,Dragon Ball Z Movie 10: Kiken na Futari! Super Senshi wa Nemurenai,Dragon Ball Z: Broly - Second Coming,ドラゴンボールZ 危険なふたり!超戦士はねむれない,6.77,"Action, Adventure, Comedy, Fantasy","After his loss to Goku, Broly crash lands and hibernates on earth. After some time, he is awakened by Trunks and Goten, who Broly believes is Kakarott, and goes on a rampage to kill both of them. At the same time, Gohan is on his way to challenge the Legendary Super Saiyan alone.",Movie,1.0,"Mar 12, 1994",UNKNOWN,Finished Airing,UNKNOWN,Funimation,Toei Animation,Manga,50 min,PG-13 - Teens 13 or older,4984.0,1624,42,80328.0,127674,https://cdn.myanimelist.net/images/anime/1191/93673.jpg
819,904,Dragon Ball Z Movie 11: Super Senshi Gekiha!! Katsu no wa Ore da,Dragon Ball Z: Bio-Broly,ドラゴンボールZ 超戦士撃破!!勝のはオレだ,5.78,"Action, Adventure, Comedy, Fantasy","Jaga Bada, Mr. Satan's old sparring partner, has invited Satan to his personal island to hold a grudge match. Trunks and Goten decide to come for the adventure and Android #18 is following Satan for the money he owes her. Little do they know that Jaga Bada's scientist have found a way to resurrect Broly, the legendary Super Saiyan.",Movie,1.0,"Jul 9, 1994",UNKNOWN,Finished Airing,UNKNOWN,Funimation,Toei Animation,Manga,50 min,PG-13 - Teens 13 or older,9755.0,1710,18,74300.0,119046,https://cdn.myanimelist.net/images/anime/1035/93674.jpg
820,905,Dragon Ball Z Movie 12: Fukkatsu no Fusion!! Gokuu to Vegeta,Dragon Ball Z: Fusion Reborn,ドラゴンボールZ 復活のフュージョン!!悟空とベジータ,7.58,"Action, Adventure, Comedy, Fantasy, Sci-Fi","After a janitorial mishap, an unsuspecting custodian transforms into Janemba, a fat, yellow demon who wreaks havoc throughout the afterlife. Gokuu Son has been competing in martial arts tournaments for the undead since his heroic death in the battle against Cell. Soon, Janemba's chaos draws Gokuu and fellow combatant Pikkon toward him, forcing the pair to figure out a way to defeat the giant monster.

After a bout with him, Gokuu witnesses Janemba undergo another transformation: the demon sheds his fat and changes color, turning into a sword-wielding enemy more powerful than anyone Gokuu has faced thus far. With the aid of his similarly deceased rival Vegeta, Gokuu must stop the terrifying Janemba from disrupting the very fabric of the universe.",Movie,1.0,"Mar 4, 1995",UNKNOWN,Finished Airing,Studio Take Off,Funimation,Toei Animation,Manga,50 min,PG-13 - Teens 13 or older,1433.0,1457,143,94154.0,145779,https://cdn.myanimelist.net/images/anime/1015/93675.jpg
821,906,Dragon Ball Z Movie 13: Ryuuken Bakuhatsu!! Gokuu ga Yaraneba Dare ga Yaru,Dragon Ball Z: Wrath of the Dragon,ドラゴンボールZ 龍拳爆発!!悟空がやらねば誰がやる,7.34,"Action, Adventure, Comedy, Fantasy, Sci-Fi","The Z Warriors discover an unopenable music box and are told to open it with the dragon balls. The contents turn out to be a warrior named Tapion who had sealed himself inside along with a monster called Hildegarn. Goku must now perfect a new technique to defeat the evil monster. 

(Source: ANN)",Movie,1.0,"Jul 15, 1995",UNKNOWN,Finished Airing,UNKNOWN,Funimation,Toei Animation,Manga,51 min,PG-13 - Teens 13 or older,2321.0,1638,90,78647.0,126408,https://cdn.myanimelist.net/images/anime/1704/93676.jpg
826,911,Konjiki no Gash Bell!!: Mecha Vulkan no Raishuu,Zatch Bell Movie 2,劇場版　金色のガッシュベル!!　メカバルカンの来襲,7.1,"Adventure, Supernatural","With only Coast School in mind, Takamine Kiyomaro leaves Gash bewildered that he’ll make a new Volcan 300 for him to play with. The genius tries to catch up with the bus that would take him there, but a giant Volcan 300 kidnaps him. Meanwhile Gash befriends the same Vulcan that kidnapped Kiyomaro later named: Volcan 300 Generation 4. The genius wakes up to see that he isn’t in Coast School, but that a doctor by the name M2 wants him to be his partner in the future. However, Gash and the other demons interfere with M2's plan in taking Kiyomaro to the future by the help of Generation 4 who agreed to take Gash there by a glitch in its system. Still the doctor tries to get Kiyomaro to come back with him, but with the help of everyone, he is defeated. Though a new situation is at hand, the time warp that M2 came from is out of control. It’s up to Gash and the others to save the city or be sucked into it. 

(Source: ANN)",Movie,1.0,"Aug 6, 2005",UNKNOWN,Finished Airing,UNKNOWN,Discotek Media,Toei Animation,Unknown,1 hr 24 min,PG-13 - Teens 13 or older,3550.0,6957,4,3018.0,7085,https://cdn.myanimelist.net/images/anime/1459/95423.jpg
848,936,Naruto Movie 2: Dai Gekitotsu! Maboroshi no Chiteiiseki Dattebayo!,Naruto the Movie 2: Legend of the Stone of Gelel,劇場版　NARUTO　大激突！幻の地底遺跡だってばよ,6.87,"Action, Adventure, Fantasy","In a tumultuous effort, the Sunagakure ninjas attempt to repel an unforeseen invasion of mysterious armored warriors on the Land of Wind. Shortly afterwards, the same armored troops led by Temujin—a skilled knight of impressive power—ambush Naruto Uzumaki, Sakura Haruno, and Shikamaru Nara, who are on a mission to recover a lost ferret. Naruto and Temujin engage in a fierce fight that ends with both of them falling off a cliff.

Taken aback by their friend's sudden misfortune, Sakura and Shikamaru witness yet another alarming development: a massive moving structure appears out of nowhere, ravaging any trees and rocks in its path. While Sakura sets off to find Naruto, Shikamaru infiltrates the imposing fortress in hopes of learning more about the critical situation. 

Entangled in a relentless conflict, the Konohagakure ninjas join forces with their Sunagakure counterparts to defeat the common enemy. However, amidst the turmoil, a clash between two different visions of an ideal world emerges.",Movie,1.0,"Aug 6, 2005",UNKNOWN,Finished Airing,Bandai,VIZ Media,Pierrot,Manga,1 hr 37 min,PG-13 - Teens 13 or older,4535.0,981,166,133610.0,228051,https://cdn.myanimelist.net/images/anime/1114/134485.jpg
857,950,Street Fighter Alpha: Generations,Street Fighter Alpha: Generations,ストリートファイターALPHAジェネレーション,6.47,Adventure,"When Ryu returns to pay homage to his deceased mentor, Gouken, he is tormented by disturbing memories of his master's killer. In a quest to become a true martial arts master, Ryu sets out to hone his street fighting skills and to deliver himself from the haunting legacy of the Dark Hadou. But the ultimate test of his new power can only be accomplished through one last fateful confrontation with his arch-nemesis, Gouki (Akuma). 

(Source: AniDB)",Movie,1.0,"Oct 25, 2005",UNKNOWN,Finished Airing,UNKNOWN,Manga Entertainment,APPP,Game,42 min,PG-13 - Teens 13 or older,6547.0,5286,13,8240.0,13920,https://cdn.myanimelist.net/images/anime/2/3455.jpg
879,974,Dead Leaves,Dead Leaves,デッド　リーブス,7.21,"Action, Comedy, Sci-Fi","Shortly after waking up in an unknown street with no clothes or memories, Retro and Pandy team up and begin a life of thrill chasing and violence. Retro's wild antics and Pandy's carefree personality make them the perfect partners in crime to cause mayhem wherever they strike.

When an accidental mistake lands them behind bars, Retro and Pandy are sent to Dead Leaves—a high-security prison on the Moon. Once there, they soon discover that the other inmates are clones, all products of genetic mutation experiments. With nothing better to do, they escape from their cell and lead a prison break with the other captives. Armed with a crew of mutants and a hunger for havoc, the chaotic duo begins their wacky escape.",Movie,1.0,"Jan 16, 2004",UNKNOWN,Finished Airing,UNKNOWN,Manga Entertainment,Production I.G,Original,52 min,R+ - Mild Nudity,2987.0,2070,617,40235.0,90398,https://cdn.myanimelist.net/images/anime/1827/112657.jpg
884,979,Street Fighter Zero The Animation,Street Fighter Alpha: The Movie,ストリートファイターZERO THE ANIMATION,6.51,"Action, Drama","Ryu, the current Street Fighter champion, must overcome the power of the ""Dark Hadou"" which consumed Akuma, the brother of his sensei, Gouken. Plus, he deals with the unexpected arrival of Shun, a young boy who proclaims to be his long-lost brother. 

(Source: ANN)",Movie,1.0,"Dec 22, 1999",UNKNOWN,Finished Airing,Capcom,Manga Entertainment,Plum,Game,1 hr 30 min,PG-13 - Teens 13 or older,6349.0,5026,25,9583.0,15900,https://cdn.myanimelist.net/images/anime/1138/107135.jpg
902,997,Bishoujo Senshi Sailor Moon S: Kaguya-hime no Koibito,Sailor Moon S Movie: Hearts in Ice,美少女戦士セーラームーンS かぐや姫の恋人,7.69,"Adventure, Comedy, Drama, Fantasy, Romance","An unusual snow storm hits Tokyo and the Sailor Senshi discover that an evil snow queen Kaguya, wants to freeze the entire earth. It's up to the Inner Sailor Senshi along with the Outers, to defeat the Queen. Meanwhile, Luna falls in love with a human astronomer named Kakeru whose girlfriend is an astronaut about to take a space shuttle mission. Kakeru becomes ill and Luna wishes she could be a human to help him.",Movie,1.0,"Dec 4, 1994",UNKNOWN,Finished Airing,Kodansha,"VIZ Media, Geneon Entertainment USA",Toei Animation,Manga,1 hr,PG-13 - Teens 13 or older,1173.0,2830,112,28040.0,52670,https://cdn.myanimelist.net/images/anime/1601/98566.jpg
911,1006,Tenchi Muyou! in Love,Tenchi Muyo! In Love,天地無用! in Love,7.41,"Action, Comedy, Romance, Sci-Fi","In a dark corner of the universe, intergalactic criminal Kain breaks out of prison and destroys the Galaxy Police Headquarters. Basking in the afterglow of the terror and destruction he has caused, Kain sets his sights toward a much bigger prize waiting on Earth.

Meanwhile, Tenchi Masaki and his crew are watching some old home videos of his mother, Achika. As the film rolls, Achika slowly starts to vanish. While watching her fade away, Tenchi also begins to disappear. However, thanks to a device created by Washuu Hakubi, Tenchi is not gone for good.

The gang soon learns about Kain and deduce that he must have done something to Achika, which has resulted in time being altered. To save himself and maintain the future, Tenchi travels with the girls back in time to protect his mother from her fate.",Movie,1.0,"Apr 20, 1996",UNKNOWN,Finished Airing,"Pioneer LDC, GAGA","Funimation, Geneon Entertainment USA",AIC,Original,1 hr 34 min,PG-13 - Teens 13 or older,2063.0,4271,46,11944.0,23364,https://cdn.myanimelist.net/images/anime/1543/92823.jpg
915,1010,Ranma ½: Chou Musabetsu Kessen! Ranma Team vs. Densetsu no Houou,Ranma ½: Team Ranma vs. The Legendary Phoenix,らんま１／２ 超無差別決戦！ 乱馬チームVS伝説の鳳凰,7.35,"Action, Adventure, Comedy, Supernatural","Kuno purchases a strange egg, believing that the mysterious powers of the legendary Phoenix will help him defeat Ranma. But when the egg hatches on his head, the bird goes out of control and wreaks havoc all over Tokyo. Ranma and the gang must use any means necessary to get the Phoenix to leave Kuno's head and fly away.

(Source: ANN)",Movie,1.0,"Aug 20, 1994",UNKNOWN,Finished Airing,Fuji TV,VIZ Media,Studio Deen,Unknown,31 min,PG-13 - Teens 13 or older,2290.0,4977,7,7888.0,16242,https://cdn.myanimelist.net/images/anime/1985/107722.jpg
933,1028,Arete Hime,Princess Arete,アリーテ姫,6.88,Fantasy,"Confined in the castle tower by her father, princess Arete spends her days watching the world outside her window. Sometimes she seeks out to watch the common people at work. The knights of the kingdom compete for the right to marry her and rule the land by competing to see who can find powerful magic objects made by a long dead race of sorcerers. Arete wants none of this. She longs to meet the common people and travel to exotic lands she has only seen in the books she keeps hidden under her bed. One day the sorcerer Boax arrives in a fantastic flying machine and offers to take Arete as his wife and transform her into a proper princess.

(Source: ANN)",Movie,1.0,"Jul 21, 2001",UNKNOWN,Finished Airing,"Dentsu, Imagica, Shogakukan, Beyond C., Nichion",UNKNOWN,Studio 4°C,Novel,1 hr 45 min,G - All Ages,4488.0,5449,51,4596.0,12920,https://cdn.myanimelist.net/images/anime/10/4327.jpg
934,1029,Omoide Poroporo,Only Yesterday,おもひでぽろぽろ,7.43,"Drama, Romance","Taeko Okajima is a 27-year-old, independent woman who spent her entire life in Tokyo. Looking to unwind from the rush of the big city, she decides to visit her family in the country to help out during the harvest.

On the train there, Taeko vividly recalls her memories as a schoolgirl in the initial stages of puberty, as if she is on a trip with her childhood self. A young farmer named Toshio picks her up at the station, and they quickly develop a friendship. During her stay, Taeko forms strong bonds with family and friends, learning the contrasts between urban and rural life, as well as the struggles and joys of farming.

Nostalgic and bittersweet, Omoide Poroporo takes on Taeko's journey as an adult woman coming to terms with her childhood dreams compared to the person she is today.",Movie,1.0,"Jul 20, 1991",UNKNOWN,Finished Airing,Tokuma Shoten,GKIDS,Studio Ghibli,Manga,1 hr 58 min,G - All Ages,1971.0,1532,1117,71016.0,136972,https://cdn.myanimelist.net/images/anime/1967/112659.jpg
935,1030,Heisei Tanuki Gassen Ponpoko,Pom Poko,平成狸合戦ぽんぽこ,7.3,Award Winning,"With the increasing need for Tokyo to expand as one of Japan's major cities, inevitable sacrifices must be made so that changes can take place. One of these sacrifices is that the room for nature and wildlife to flourish will decrease significantly over time. As this decline continues, many animal communities experience the brunt of urbanization. One such community known as the ""Tanuki,"" a type of magical shape-shifting mammal, is caught up in a struggle to defend their beloved forest from being absorbed by the looming threat of an expanding Tokyo.

As more and more Tanuki find themselves with nowhere to hide and territorial fights become increasingly regular amongst the different factions of the community, the elder Tanuki Oroku decides that something must be done. For the sake of their home as well as the safety of their future generations, the Tanuki unite as one with the hope that together they may be able to repel mankind's construction projects and scare them away from the forests using their shapeshifting abilities.

But as they begin their first attempts at sabotage, the Tanuki soon realize the operation will be no easy task. Will they reclaim their forest as a united community, or will they be torn apart by a war against humanity, blinded by anger and pain after witnessing nature's destruction?",Movie,1.0,"Jun 13, 1994",UNKNOWN,Finished Airing,"Daiei, Nippon Television Network","Disney Platform Distribution, GKIDS",Studio Ghibli,Original,1 hr 59 min,G - All Ages,2533.0,1914,298,59142.0,101401,https://cdn.myanimelist.net/images/anime/11/75925.jpg
936,1031,Hanare Toride no Yonna,Yonna in the Solitary Fortress,はなれ砦のヨナ,4.93,"Adventure, Fantasy","Yonna and Stan, brother and sister, live in isolation because of their special powers. There are enigmatic people who plot to use their power, in conflict with the king`s government, which is also planning to draw them onto their side. Intrigue surrounds Yonna, and now a new agent comes to see her.

(Source: AniDB)",Movie,1.0,"Apr 8, 2006",UNKNOWN,Finished Airing,"Studio 4°C, Capcom",UNKNOWN,CoMix Wave Films,Original,33 min,PG - Children,12050.0,9752,3,1218.0,2696,https://cdn.myanimelist.net/images/anime/8/24282.jpg
938,1033,Sennen Joyuu,Millennium Actress,千年女優,8.25,"Action, Adventure, Award Winning, Drama, Fantasy, Romance","At the turn of the millennium, Ginei Studio's dilapidated buildings are set to be demolished. Ex-employee and filmmaker Genya Tachibana decides to honor this occasion with a commemorative documentary about the company's star actress: Chiyoko Fujiwara, the reclusive sweetheart of Shouwa Era cinema. Having finally obtained permission to interview the retired starlet, an enamored Genya drags along cynical cameraman Kyouji Ida to meet her, ready to put his lifelong idol back in the spotlight once more.

Hidden in this secluded mountain retreat is a thousand years of history condensed into one lifetime, waiting to be narrated. Chiyoko's recollections take them on an illusionary journey through Japanese cinematic history that transcends the boundaries of reality; the saga of her acting career intertwines with her filmography, the actors in her life blend seamlessly with the characters on screen, and the present melds with the past. Though the actress may have retired at the height of her career 30 years ago, the curtain on her life's stage has yet to fall.",Movie,1.0,"Sep 14, 2002",UNKNOWN,Finished Airing,"Bandai Visual, WOWOW, Genco, Kadokawa Shoten, KlockWorx","Eleven Arts, DreamWorks",Madhouse,Original,1 hr 26 min,PG-13 - Teens 13 or older,289.0,1261,2488,79434.0,176075,https://cdn.myanimelist.net/images/anime/1648/93626.jpg
939,1034,Ouritsu Uchuugun: Honneamise no Tsubasa,Royal Space Force: The Wings of Honneamise,王立宇宙軍 オネアミスの翼,7.48,"Action, Award Winning, Drama, Sci-Fi","Shirotsugh ""Shiro"" Lhadatt may be a cadet in the Kingdom of Honneamise's Royal Space Force (RSF), but he has never been in space before—in fact, nobody has. The RSF is often regarded as a failure both by the country's citizens and a government more interested in precipitating a war with a neighboring country than scientific achievement. Following the funeral of a fellow cadet, an unmotivated Shiro is walking in the city one night, when he bumps into Riquinni Nonderaiko, a young, pious woman, genuinely enthusiastic about the significance of space exploration.

As the two gradually bond, Riquinni's encouragement inspires Shiro to volunteer as a pilot for a prospective rocket ship, potentially becoming Honneamise's first man in space. Shiro and the RSF are soon joined by a team of elderly but eager scientists and engineers, and together, they embark on a mission to mold their nation's space program into a success. However, their efforts soon catch the attention of the government, which seems to have a different plan for the RSF in mind. Even as the odds are stacked against them, these men and women continue to stubbornly look to the sky, because somewhere among the frontiers of space may lie humanity's last chance at redemption.",Movie,1.0,"Mar 14, 1987",UNKNOWN,Finished Airing,UNKNOWN,"Maiden Japan, Manga Entertainment, Bandai Visual USA",Gainax,Original,2 hr 1 min,R+ - Mild Nudity,1768.0,3117,278,15829.0,44005,https://cdn.myanimelist.net/images/anime/1811/112663.jpg
949,1044,Taiyou no Ouji: Horus no Daibouken,Horus: Prince of the Sun,太陽の王子 ホルスの大冒険,6.47,"Adventure, Drama","Horus is a boy that one day, hunted by silver wolves, found the sword of the sun. The day his father died he left his home to find the people from the town his father told him. Together with a small bear named Koro he starts the journey and runs into a great adventure fighting against Grunwald and his subordinates who want to rule the world.

(Source: AniDB)",Movie,1.0,"Jul 21, 1968",UNKNOWN,Finished Airing,UNKNOWN,Discotek Media,Toei Animation,Other,1 hr 22 min,G - All Ages,6504.0,6495,13,3998.0,8352,https://cdn.myanimelist.net/images/anime/1791/100508.jpg
954,1049,Cello Hiki no Gauche (1982),Gauche the Cellist,セロ弾きのゴーシュ,6.87,"Award Winning, Drama, Fantasy","The story concerns Gauche, a professional cellist. During rehearsals for a performance, he is scolded by the conductor because his playing is not good enough. His timing is off and he seems to have no ""feel"" for the music.

Gauche returns to his lonely cottage and starts practicing. Then a cat enters who tricks him into understanding the inner meaning of the music. The importance of practice is shown by a cuckoo, rhythm by a badger and tenderness by a mouse. In four days he learns the true meaning and feeling of music and develops into a great musician.

Laced with popular classical music this special combines fun and inspiration for all ages and audiences.

(Source: AnimeNfo, edited)",Movie,1.0,"Jan 23, 1982",UNKNOWN,Finished Airing,UNKNOWN,UNKNOWN,Oh! Production,Book,1 hr 3 min,G - All Ages,4507.0,5275,23,5307.0,13967,https://cdn.myanimelist.net/images/anime/9/36627.jpg
978,1078,Cardcaptor Sakura: Kero-chan ni Omakase!,Cardcaptor Sakura: Leave it to Kero! Theatrical Version,ケロちゃんにおまかせ！,7.32,"Comedy, Gourmet","Following the events of Cardcaptor Sakura Movie 2: The Sealed Card, Kero and Spinel share a plate of takoyaki (octopus balls). They get into a fight over who gets the last piece, and in the process send it flying out the window. They both chase the takoyaki, and each other, in a mighty effort to be the ""takoyaki captor"".

(Source: ANN)",Movie,1.0,"Jul 15, 2000",UNKNOWN,Finished Airing,"NHK, Kodansha, Shelty","Discotek Media, Geneon Entertainment USA",Madhouse,Manga,10 min,G - All Ages,2409.0,3743,33,15889.0,31041,https://cdn.myanimelist.net/images/anime/13/28850.jpg
989,1089,Macross: Do You Remember Love?,UNKNOWN,超時空要塞マクロス -愛・おぼえていますか-,7.94,"Action, Romance, Sci-Fi","After warping light-years away from Earth, the spacecraft Macross carries a city of civilians and soldiers back home. They continuously fight off the threat of the Zentradi and Meltrandi, giant alien races with whom humanity wages war. 

During a battle, the Macross transforms into a mecha operated by fighter pilot Hikaru Ichijou. Thrust into a number of hardships, Hikaru grows close to the city's idol Minmay Lynn. As their relationship develops, however, it is viewed unfavorably by others due to Minmay's status and popularity.

With war raging on and the state of Earth unknown, Hikaru and his fellow soldiers fight on against their mysterious enemies. Throughout the bloodshed, Hikaru and Minmay attempt to keep hold of their feelings for one another. Minmay pours her heart into her music, which may just turn out to be the key to finding peace.",Movie,1.0,"Jul 7, 1984",UNKNOWN,Finished Airing,"Mainichi Broadcasting System, Studio Nue, Big West",UNKNOWN,Tatsunoko Production,Original,1 hr 55 min,R+ - Mild Nudity,665.0,3036,717,21822.0,45884,https://cdn.myanimelist.net/images/anime/1080/107017.jpg
